0

1010 1101 1111 10000 11100



                    102                  210     122    201      1000
130 312                     201         220                 1000
432 240                                                         310 123                                                  400
543 210 320 501 123
666                                                     405 312 203 1000
77 123 345 200 1000
88 123                                          456 100 1000
123 256 512 789                                          1000





A0 B1 A2 102 123







A3 B4 C5                    103 123
C0 B1                                A2 100 11C
C1                                                  B2 A3 100 12A
E1 D2 C3                                            B4 100
                            1A 2B                                            3C 4D 100
å




10 11                                           12 13 1A
1A 1B 1C                                            1D 1E
1A                          1B 1C 1D 1E
10 11                                               12 13 145
-134        -145
